日期,排名,影片名,单日票房(万),环比变化(%),累计票房(万)
2019年10月14日,6,急速逃脱,39.0000,-65.0000,344.0000
2019年10月14日,7,国礼,31.0000,94.0000,415.0000
2019年10月14日,8,雪人奇缘,29.0000,-95.0000,"9,952.0000"
2019年10月14日,9,古田军号,14.0000,17.0000,"3,505.0000"
2019年10月14日,10,哪吒之魔童降世,8.0000,-88.0000,"497,273.0000"
2019年10月13日,1,中国机长,"9,811.0000",8.0000,"243,766.0000"
2019年10月13日,2,我和我的祖国,"6,426.0000",-8.0000,"256,874.0000"
2019年10月13日,3,犯罪现场,"5,307.0000",1.0000,"10,554.0000"
2019年10月13日,4,攀登者,"3,588.0000",13.0000,"98,039.0000"
2019年10月13日,5,雪人奇缘,528.0000,340.0000,"9,924.0000"
2019年10月13日,6,丑娃娃,239.0000,0.0000,315.0000
2019年10月13日,7,急速逃脱,110.0000,-43.0000,305.0000
2019年10月13日,8,哪吒之魔童降世,68.0000,152.0000,"497,264.0000"
2019年10月13日,9,心灵的阳光,48.0000,0.0000,"5,397.0000"
2019年10月13日,10,罗小黑战记,29.0000,222.0000,"31,345.0000"
2019年10月12日,1,中国机长,"9,087.0000",54.0000,"233,955.0000"
2019年10月12日,2,我和我的祖国,"6,957.0000",38.0000,"250,448.0000"
2019年10月12日,3,犯罪现场,"5,247.0000",0.0000,"5,247.0000"
2019年10月12日,4,攀登者,"3,178.0000",57.0000,"94,451.0000"
2019年10月12日,5,急速逃脱,192.0000,"19,100.0000",195.0000
2019年10月12日,6,雪人奇缘,120.0000,94.0000,"9,396.0000"
2019年10月12日,7,决胜时刻,116.0000,16.0000,"10,908.0000"
2019年10月12日,8,哪吒之魔童降世,27.0000,4.0000,"497,196.0000"
2019年10月12日,9,古田军号,17.0000,-37.0000,"3,479.0000"
2019年10月12日,10,国礼,12.0000,-20.0000,367.0000
2019年10月11日,1,中国机长,"5,895.0000",-1.0000,"224,868.0000"
2019年10月11日,2,我和我的祖国,"5,044.0000",-6.0000,"243,491.0000"
2019年10月11日,3,攀登者,"2,028.0000",0.0000,"91,272.0000"
2019年10月11日,4,决胜时刻,100.0000,9.0000,"10,793.0000"
2019年10月11日,5,雪人奇缘,62.0000,27.0000,"9,275.0000"
2019年10月11日,6,古田军号,27.0000,-16.0000,"3,462.0000"
2019年10月11日,7,哪吒之魔童降世,26.0000,0.0000,"497,170.0000"
2019年10月11日,8,国礼,15.0000,-6.0000,354.0000
2019年10月11日,9,亲密旅行,13.0000,8.0000,314.0000
2019年10月11日,10,罗小黑战记,12.0000,0.0000,"31,307.0000"
2019年10月10日,1,中国机长,"5,948.0000",-14.0000,"218,917.0000"
2019年10月10日,2,我和我的祖国,"5,389.0000",-1.0000,"238,399.0000"
2019年10月10日,3,攀登者,"2,022.0000",-10.0000,"89,223.0000"
2019年10月10日,4,决胜时刻,92.0000,12.0000,"10,692.0000"
2019年10月10日,5,雪人奇缘,49.0000,-9.0000,"9,211.0000"
2019年10月10日,6,古田军号,32.0000,3.0000,"3,435.0000"
2019年10月10日,7,哪吒之魔童降世,26.0000,0.0000,"497,138.0000"
2019年10月10日,8,国礼,16.0000,167.0000,339.0000
2019年10月10日,9,亲密旅行,12.0000,-8.0000,301.0000
2019年10月10日,10,罗小黑战记,12.0000,20.0000,"31,294.0000"
2019年10月09日,1,中国机长,"6,923.0000",-16.0000,"212,966.0000"
2019年10月09日,2,我和我的祖国,"5,420.0000",2.0000,"233,008.0000"
2019年10月09日,3,攀登者,"2,245.0000",-11.0000,"87,200.0000"
2019年10月09日,4,决胜时刻,82.0000,58.0000,"10,600.0000"
2019年10月09日,5,雪人奇缘,54.0000,-17.0000,"9,162.0000"
2019年10月09日,6,古田军号,31.0000,3.0000,"3,403.0000"
2019年10月09日,7,哪吒之魔童降世,26.0000,-13.0000,"497,112.0000"
2019年10月09日,8,亲密旅行,13.0000,0.0000,289.0000
2019年10月09日,9,古镇画情,10.0000,-9.0000,"2,141.0000"
2019年10月09日,10,罗小黑战记,10.0000,-17.0000,"31,282.0000"
2019年10月08日,1,中国机长,"8,200.0000",-53.0000,"206,036.0000"
2019年10月08日,2,我和我的祖国,"5,296.0000",-66.0000,"227,578.0000"
2019年10月08日,3,攀登者,"2,530.0000",-55.0000,"84,951.0000"
2019年10月08日,4,雪人奇缘,65.0000,-93.0000,"9,107.0000"
2019年10月08日,5,决胜时刻,52.0000,225.0000,"10,518.0000"
2019年10月08日,6,古田军号,30.0000,0.0000,"3,373.0000"
2019年10月08日,7,哪吒之魔童降世,30.0000,-88.0000,"497,086.0000"
2019年10月08日,8,亲密旅行,13.0000,-35.0000,276.0000
2019年10月08日,9,罗小黑战记,12.0000,-82.0000,"31,271.0000"
2019年10月08日,10,古镇画情,11.0000,-54.0000,"2,131.0000"
2019年10月07日,1,中国机长,"17,542.0000",-25.0000,"197,819.0000"
2019年10月07日,2,我和我的祖国,"15,798.0000",-29.0000,"222,265.0000"
2019年10月07日,3,攀登者,"5,630.0000",-23.0000,"82,416.0000"
2019年10月07日,4,雪人奇缘,967.0000,-8.0000,"9,042.0000"
2019年10月07日,5,哪吒之魔童降世,251.0000,-24.0000,"497,056.0000"
2019年10月07日,6,心灵的阳光,75.0000,-19.0000,"5,348.0000"
2019年10月07日,7,罗小黑战记,65.0000,-31.0000,"31,259.0000"
2019年10月07日,8,疯狂梦幻城,45.0000,2.0000,447.0000
2019年10月07日,9,古田军号,30.0000,15.0000,"3,343.0000"
2019年10月07日,10,古镇画情,24.0000,-31.0000,"2,120.0000"
2019年10月06日,1,中国机长,"23,527.0000",-4.0000,"180,277.0000"
2019年10月06日,2,我和我的祖国,"22,271.0000",-8.0000,"206,467.0000"
2019年10月06日,3,攀登者,"7,298.0000",1.0000,"76,786.0000"
2019年10月06日,4,雪人奇缘,"1,047.0000",-3.0000,"8,075.0000"
2019年10月06日,5,哪吒之魔童降世,331.0000,-8.0000,"496,805.0000"
2019年10月06日,6,罗小黑战记,94.0000,-8.0000,"31,194.0000"
2019年10月06日,7,心灵的阳光,93.0000,-16.0000,"5,273.0000"
2019年10月06日,8,疯狂梦幻城,44.0000,38.0000,401.0000
2019年10月06日,9,古镇画情,35.0000,-19.0000,"2,095.0000"
2019年10月06日,10,名侦探柯南:绀青之拳,28.0000,-10.0000,"23,129.0000"
2019年10月05日,1,中国机长,"24,462.0000",-3.0000,"156,726.0000"
2019年10月05日,2,我和我的祖国,"24,315.0000",-6.0000,"184,168.0000"
2019年10月05日,3,攀登者,"7,257.0000",-6.0000,"69,484.0000"
2019年10月05日,4,雪人奇缘,"1,082.0000",-5.0000,"7,027.0000"
2019年10月05日,5,哪吒之魔童降世,360.0000,1.0000,"496,474.0000"
2019年10月05日,6,心灵的阳光,111.0000,8.0000,"5,180.0000"
2019年10月05日,7,罗小黑战记,102.0000,-1.0000,"31,100.0000"
2019年10月05日,8,古镇画情,43.0000,2.0000,"2,061.0000"
2019年10月05日,9,疯狂梦幻城,32.0000,-14.0000,357.0000
2019年10月05日,10,名侦探柯南:绀青之拳,31.0000,-3.0000,"23,102.0000"
2019年10月04日,1,我和我的祖国,"25,809.0000",-15.0000,"159,846.0000"
2019年10月04日,2,中国机长,"25,273.0000",-5.0000,"132,260.0000"
2019年10月04日,3,攀登者,"7,720.0000",-14.0000,"62,226.0000"
2019年10月04日,4,雪人奇缘,"1,140.0000",-8.0000,"5,945.0000"
2019年10月04日,5,哪吒之魔童降世,355.0000,11.0000,"496,112.0000"
2019年10月04日,6,罗小黑战记,103.0000,6.0000,"30,998.0000"
2019年10月04日,7,心灵的阳光,103.0000,-12.0000,"5,069.0000"
2019年10月04日,8,古镇画情,42.0000,-7.0000,"2,018.0000"
2019年10月04日,9,丑娃娃,39.0000,0.0000,68.0000
2019年10月04日,10,疯狂梦幻城,37.0000,37.0000,325.0000
2019年10月03日,1,我和我的祖国,"30,248.0000",-16.0000,"134,029.0000"
2019年10月03日,2,中国机长,"26,724.0000",-5.0000,"106,981.0000"
2019年10月03日,3,攀登者,"9,024.0000",-15.0000,"54,503.0000"
2019年10月03日,4,雪人奇缘,"1,242.0000",2.0000,"4,804.0000"
2019年10月03日,5,哪吒之魔童降世,320.0000,29.0000,"495,757.0000"
2019年10月03日,6,亲密旅行,147.0000,"3,575.0000",168.0000
2019年10月03日,7,心灵的阳光,117.0000,-14.0000,"4,966.0000"
2019年10月03日,8,罗小黑战记,97.0000,17.0000,"30,895.0000"
2019年10月03日,9,古镇画情,45.0000,-8.0000,"1,975.0000"
2019年10月03日,10,疯狂斗牛场,36.0000,0.0000,37.0000
2019年10月02日,1,我和我的祖国,"35,858.0000",-6.0000,"103,775.0000"
2019年10月02日,2,中国机长,"28,232.0000",10.0000,"80,253.0000"
2019年10月02日,3,攀登者,"10,648.0000",-22.0000,"45,477.0000"
2019年10月02日,4,雪人奇缘,"1,219.0000",-33.0000,"3,562.0000"
2019年10月02日,5,哪吒之魔童降世,249.0000,101.0000,"495,436.0000"
2019年10月02日,6,美食大冒险之英雄烩,155.0000,0.0000,160.0000
2019年10月02日,7,心灵的阳光,136.0000,-3.0000,"4,849.0000"
2019年10月02日,8,罗小黑战记,83.0000,77.0000,"30,798.0000"
2019年10月02日,9,古镇画情,49.0000,4.0000,"1,930.0000"
2019年10月02日,10,疯狂梦幻城,37.0000,28.0000,261.0000
2019年10月01日,1,我和我的祖国,"37,975.0000",32.0000,"67,908.0000"
2019年10月01日,2,中国机长,"25,607.0000",24.0000,"52,010.0000"
2019年10月01日,3,攀登者,"13,632.0000",-19.0000,"34,831.0000"
2019年10月01日,4,雪人奇缘,"1,840.0000","183,900.0000","2,349.0000"
2019年10月01日,5,心灵的阳光,140.0000,22.0000,"4,713.0000"
2019年10月01日,6,哪吒之魔童降世,124.0000,553.0000,"495,184.0000"
2019年10月01日,7,古镇画情,47.0000,31.0000,"1,881.0000"
2019年10月01日,8,罗小黑战记,47.0000,104.0000,"30,713.0000"
2019年10月01日,9,疯狂梦幻城,29.0000,867.0000,224.0000
2019年10月01日,10,古田军号,22.0000,633.0000,"3,180.0000"
2019年09月30日,1,我和我的祖国,"28,660.0000","716,400.0000","29,923.0000"
2019年09月30日,2,中国机长,"20,704.0000",0.0000,"26,380.0000"
2019年09月30日,3,攀登者,"16,721.0000","238,771.0000","21,178.0000"
2019年09月30日,4,心灵的阳光,115.0000,"1,817.0000","4,573.0000"
2019年09月30日,5,决胜时刻,54.0000,-92.0000,"10,366.0000"
2019年09月30日,6,古镇画情,34.0000,"1,033.0000","1,832.0000"
2019年09月30日,7,罗小黑战记,23.0000,-94.0000,"30,662.0000"
2019年09月30日,8,哪吒之魔童降世,19.0000,-94.0000,"495,057.0000"
2019年09月30日,9,我和神马查干,17.0000,"1,600.0000","3,369.0000"
2019年09月30日,10,诛仙Ⅰ,15.0000,-98.0000,"40,158.0000"
2019年09月29日,1,诛仙Ⅰ,719.0000,38.0000,"40,143.0000"
2019年09月29日,2,决胜时刻,678.0000,28.0000,"10,313.0000"
2019年09月29日,3,小小的愿望,678.0000,-15.0000,"26,624.0000"
2019年09月29日,4,小Q,541.0000,-12.0000,"10,989.0000"
2019年09月29日,5,罗小黑战记,381.0000,-42.0000,"30,639.0000"
2019年09月29日,6,友情以上,365.0000,-18.0000,"5,153.0000"
2019年09月29日,7,哪吒之魔童降世,296.0000,-38.0000,"495,038.0000"
2019年09月29日,8,名侦探柯南:绀青之拳,252.0000,-31.0000,"22,957.0000"
2019年09月29日,9,速度与激情:特别行动,180.0000,6.0000,"143,002.0000"
2019年09月29日,10,巨鳄风暴,114.0000,1.0000,"7,380.0000"
2019年09月28日,1,中国机长,"5,635.0000","46,858.0000","5,676.0000"
2019年09月28日,2,攀登者,"4,421.0000","19,122.0000","4,450.0000"
2019年09月28日,3,我和我的祖国,"1,257.0000","125,600.0000","1,259.0000"
2019年09月28日,4,小小的愿望,800.0000,9.0000,"25,946.0000"
2019年09月28日,5,罗小黑战记,654.0000,77.0000,"30,258.0000"
2019年09月28日,6,小Q,618.0000,-3.0000,"10,449.0000"
2019年09月28日,7,决胜时刻,529.0000,-44.0000,"9,635.0000"
2019年09月28日,8,诛仙Ⅰ,521.0000,9.0000,"39,424.0000"
2019年09月28日,9,雪人奇缘,486.0000,"48,500.0000",508.0000
2019年09月28日,10,哪吒之魔童降世,481.0000,86.0000,"494,742.0000"
2019年09月27日,1,决胜时刻,947.0000,3.0000,"9,104.0000"
2019年09月27日,2,小小的愿望,730.0000,47.0000,"25,145.0000"
2019年09月27日,3,小Q,638.0000,24.0000,"9,827.0000"
2019年09月27日,4,诛仙Ⅰ,477.0000,25.0000,"38,898.0000"
2019年09月27日,5,友情以上,429.0000,26.0000,"4,343.0000"
2019年09月27日,6,罗小黑战记,370.0000,78.0000,"29,604.0000"
2019年09月27日,7,哪吒之魔童降世,258.0000,44.0000,"494,260.0000"
2019年09月27日,8,名侦探柯南:绀青之拳,237.0000,61.0000,"22,342.0000"
2019年09月27日,9,速度与激情:特别行动,161.0000,27.0000,"142,647.0000"
2019年09月27日,10,巨鳄风暴,119.0000,32.0000,"7,151.0000"
2019年09月26日,1,决胜时刻,922.0000,-6.0000,"8,157.0000"
2019年09月26日,2,小Q,514.0000,-8.0000,"9,189.0000"
2019年09月26日,3,小小的愿望,495.0000,-9.0000,"24,412.0000"
2019年09月26日,4,诛仙Ⅰ,381.0000,-9.0000,"38,419.0000"
2019年09月26日,5,友情以上,340.0000,-10.0000,"3,914.0000"
2019年09月26日,6,罗小黑战记,207.0000,-7.0000,"29,232.0000"
2019年09月26日,7,哪吒之魔童降世,179.0000,-6.0000,"494,000.0000"
2019年09月26日,8,名侦探柯南:绀青之拳,147.0000,-9.0000,"22,103.0000"
2019年09月26日,9,速度与激情:特别行动,126.0000,-2.0000,"142,485.0000"
2019年09月26日,10,巨鳄风暴,90.0000,-6.0000,"7,031.0000"
2019年09月25日,1,决胜时刻,986.0000,29.0000,"7,236.0000"
2019年09月25日,2,小Q,555.0000,-9.0000,"8,673.0000"
2019年09月25日,3,小小的愿望,542.0000,-3.0000,"23,916.0000"
